item index num(items[i]),id of checkin,city,createdAt,createdAtDate,createdAtDay,createdAtDayArrayValue,createdAtTime,createAtTimeMins,venue name,location lat,location long,
1,506f7347e4b00875abfcf203,New York,1349481287,"Friday, October 5, 12",Friday,4,19:54,1194,Palladium Athletic Facility,40.73342001,-73.98809062,
2,506f732fe4b04d0cab5cabea,New York,1349481263,"Friday, October 5, 12",Friday,4,19:54,1194,ITP,40.72944585,-73.99366021,
6,506ce870e4b0666b5288b469,New York,1349314672,"Wednesday, October 3, 12",Wednesday,2,21:37,1297,ITP,40.72944585,-73.99366021,
10,506b92f7e4b037d925966071,New York,1349227255,"Tuesday, October 2, 12",Tuesday,1,21:20,1280,ChatID,40.73870023,-73.9890146,
17,50675088e4b064a76cac113a,New York,1348948104,"Saturday, September 29, 12",Saturday,5,15:48,948,Palladium Athletic Facility,40.73342001,-73.98809062,
19,5065bc06498ef54a403d3e69,New York,1348844550,"Friday, September 28, 12",Friday,4,11:02,662,ITP,40.72944585,-73.99366021,
20,50631431e4b0720c968cf673,New York,1348670513,"Wednesday, September 26, 12",Wednesday,2,10:41,641,ITP,40.72944585,-73.99366021,
21,50623c6ce4b092ceff83cd8b,New York,1348615276,"Tuesday, September 25, 12",Tuesday,1,19:21,1161,ChatID,40.73870023,-73.9890146,
23,5060a6fae4b05a5f27ae0916,New York,1348511482,"Monday, September 24, 12",Monday,0,14:31,871,Palladium Athletic Facility,40.73342001,-73.98809062,
25,505ce5a3e4b0643aba404d83,New York,1348265379,"Friday, September 21, 12",Friday,4,18:09,1089,ITP,40.72944585,-73.99366021,
26,505b7da9e4b0597d27c3d42e,New York,1348173225,"Thursday, September 20, 12",Thursday,3,16:33,993,Palladium Athletic Facility,40.73342001,-73.98809062,
28,5059c8e3e4b0077641a8ea27,New York,1348061411,"Wednesday, September 19, 12",Wednesday,2,9:30,570,ITP,40.72944585,-73.99366021,
29,5059c8c7e4b0c2e0d906d935,New York,1348061383,"Wednesday, September 19, 12",Wednesday,2,9:29,569,ChatID,40.73870023,-73.9890146,
31,505870e9e4b0eceb3bac939e,New York,1347973353,"Tuesday, September 18, 12",Tuesday,1,9:02,542,ITP,40.72944585,-73.99366021,
33,505870bfe4b079bf3ad7ca38,New York,1347973311,"Tuesday, September 18, 12",Tuesday,1,9:01,541,Palladium Athletic Facility,40.73342001,-73.98809062,
37,5052228de4b0b0fc417502b3,New York,1347560077,"Thursday, September 13, 12",Thursday,3,14:14,854,ChatID,40.73870023,-73.9890146,
40,504e7250e4b0baeda4cfc6c7,New York,1347318352,"Monday, September 10, 12",Monday,0,19:05,1145,Palladium Athletic Facility,40.73342001,-73.98809062,
45,504a1d15e4b08c480553cf6e,New York,1347034389,"Friday, September 7, 12",Friday,4,12:13,733,ITP,40.72944585,-73.99366021,
50,50427d38e4b07ecdea7a18cb,New York,1346534712,"Saturday, September 1, 12",Saturday,5,17:25,1045,Palladium Athletic Facility,40.73342001,-73.98809062,
62,502ee029e4b0a9acfebb9183,New York,1345249321,"Friday, August 17, 12",Friday,4,20:22,1222,ChatID,40.73870023,-73.9890146,
66,502d0616e4b078fb585c91c6,New York,1345127958,"Thursday, August 16, 12",Thursday,3,10:39,639,ChatID,40.73870023,-73.9890146,
70,502bb1f2e4b0392da8015e00,New York,1345040882,"Wednesday, August 15, 12",Wednesday,2,10:28,628,ChatID,40.73870023,-73.9890146,
71,502a9351e4b02d3a50868507,New York,1344967505,"Tuesday, August 14, 12",Tuesday,1,14:05,845,ChatID,40.73870023,-73.9890146,
73,5029485ae4b041e2a7c1878b,New York,1344882778,"Monday, August 13, 12",Monday,0,14:32,872,ChatID,40.73870023,-73.9890146,
77,50269adde4b0f080a57c7058,New York,1344707293,"Saturday, August 11, 12",Saturday,5,13:48,828,Palladium Athletic Facility,40.73342001,-73.98809062,
79,50255edae4b0310dd1d832b0,New York,1344626394,"Friday, August 10, 12",Friday,4,15:19,919,ChatID,40.73870023,-73.9890146,
82,5023cd30e4b00ac2d873a0df,New York,1344523568,"Thursday, August 9, 12",Thursday,3,10:46,646,ChatID,40.73870023,-73.9890146,
85,502357bee4b020e1a17f6a92,New York,1344493502,"Thursday, August 9, 12",Thursday,3,2:25,145,Palladium Athletic Facility,40.73342001,-73.98809062,
88,502162f1e4b03c8ab9191f65,New York,1344365297,"Tuesday, August 7, 12",Tuesday,1,14:48,888,ChatID,40.73870023,-73.9890146,
91,501c7e08e4b03f68ac1797cd,New York,1344044552,"Friday, August 3, 12",Friday,4,21:42,1302,Palladium Athletic Facility,40.73342001,-73.98809062,
92,501c7dfae4b0db1da5aa6704,New York,1344044538,"Friday, August 3, 12",Friday,4,21:42,1302,ChatID,40.73870023,-73.9890146,
96,5019bc88e4b02d5a4add807c,New York,1343863944,"Wednesday, August 1, 12",Wednesday,2,19:32,1172,ChatID,40.73870023,-73.9890146,
98,50187631e4b0031e81376880,New York,1343780401,"Tuesday, July 31, 12",Tuesday,1,20:20,1220,ChatID,40.73870023,-73.9890146,
100,501759ffe4b075715740af6a,New York,1343707647,"Tuesday, July 31, 12",Tuesday,1,0:07,7,Palladium Athletic Facility,40.73342001,-73.98809062,
101,50169a34e4b01bcdb336d132,New York,1343658548,"Monday, July 30, 12",Monday,0,10:29,629,ChatID,40.73870023,-73.9890146,
105,50126df6e4b07f20b271e163,New York,1343385078,"Friday, July 27, 12",Friday,4,6:31,391,Palladium Athletic Facility,40.73342001,-73.98809062,
106,50118bcee4b0dbe1572b78c4,New York,1343327182,"Thursday, July 26, 12",Thursday,3,14:26,866,ITP,40.72944585,-73.99366021,
107,501155eee4b06fc7cdcbe973,New York,1343313390,"Thursday, July 26, 12",Thursday,3,10:36,636,ChatID,40.73870023,-73.9890146,
121,500024d7e4b0c1f04fe891d0,Quito,1342186711,"Friday, July 13, 12",Friday,4,9:38,578,ChatID,40.73870023,-73.9890146,
123,4fff4e47e4b0396b177e0cfd,New York,1342131783,"Thursday, July 12, 12",Thursday,3,18:23,1103,ChatID,40.73870023,-73.9890146,
131,4ffd8d83e4b08c5c1bd534a9,New York,1342016899,"Wednesday, July 11, 12",Wednesday,2,10:28,628,ChatID,40.73870023,-73.9890146,
133,4ffc3fdee4b04f2b011fb143,New York,1341931486,"Tuesday, July 10, 12",Tuesday,1,10:44,644,ChatID,40.73870023,-73.9890146,
134,4ffb672fe4b042c38c094c02,New York,1341876015,"Monday, July 9, 12",Monday,0,19:20,1160,Palladium Athletic Facility,40.73342001,-73.98809062,
135,4ffb281ce4b0aeaea02a919b,New York,1341859868,"Monday, July 9, 12",Monday,0,14:51,891,ChatID,40.73870023,-73.9890146,
137,4ff74d7de4b048eef7cfdd98,New York,1341607293,"Friday, July 6, 12",Friday,4,16:41,1001,ChatID,40.73870023,-73.9890146,
138,4ff5a405e4b0d61583753d55,Astoria,1341498373,"Thursday, July 5, 12",Thursday,3,10:26,626,ChatID,40.73870023,-73.9890146,
142,4ff303eae4b013bcfc7b773b,New York,1341326314,"Tuesday, July 3, 12",Tuesday,1,10:38,638,ChatID,40.73870023,-73.9890146,
145,4ff1b131e4b0b29eb20626d8,New York,1341239601,"Monday, July 2, 12",Monday,0,10:33,633,ChatID,40.73870023,-73.9890146,
147,4ff0c664e4b0b5102eb3972f,New York,1341179492,"Sunday, July 1, 12",Sunday,6,17:51,1071,Palladium Athletic Facility,40.73342001,-73.98809062,
158,4fee4909e4b078413a62a11a,New York,1341016329,"Friday, June 29, 12",Friday,4,20:32,1232,ChatID,40.73870023,-73.9890146,
160,4fec7095e4b06e70962dd9c2,Astoria,1340895381,"Thursday, June 28, 12",Thursday,3,10:56,656,ChatID,40.73870023,-73.9890146,
