item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
0,506f7369e4b0c6a1532e0129,1349481321,10/5/12 7:55 PM,"Friday, October 5, 12","Friday, October 5, 12",Friday,7:55 PM,New York Penn Station,40.7507948,-73.99357639
1,506f7347e4b00875abfcf203,1349481287,10/5/12 7:54 PM,"Friday, October 5, 12","Friday, October 5, 12",Friday,7:54 PM,Palladium Athletic Facility,40.73342001,-73.98809062
2,506f732fe4b04d0cab5cabea,1349481263,10/5/12 7:54 PM,"Friday, October 5, 12","Friday, October 5, 12",Friday,7:54 PM,ITP,40.72944585,-73.99366021
3,506e5d73e4b0a6dae8489c68,1349410163,10/5/12 12:09 AM,"Friday, October 5, 12","Friday, October 5, 12",Friday,12:09 AM,La Esquina,40.72144922,-73.99761379
4,506e342ae4b03206dab05abe,1349399594,10/4/12 9:13 PM,"Thursday, October 4, 12","Thursday, October 4, 12",Thursday,9:13 PM,Barclays Center,40.73139516,-73.98437172
5,506ce893e4b0444084f11817,1349314707,10/3/12 9:38 PM,"Wednesday, October 3, 12","Wednesday, October 3, 12",Wednesday,9:38 PM,Thai Terminal,40.73003023,-73.9840618
6,506ce870e4b0666b5288b469,1349314672,10/3/12 9:37 PM,"Wednesday, October 3, 12","Wednesday, October 3, 12",Wednesday,9:37 PM,ITP,40.72944585,-73.99366021
7,506ce82ce4b0efdf3b7a0c3b,1349314604,10/3/12 9:36 PM,"Wednesday, October 3, 12","Wednesday, October 3, 12",Wednesday,9:36 PM,Courant Institute of Mathematical Sciences,40.728693,-73.995627
8,506b931ce4b03ac695c673cb,1349227292,10/2/12 9:21 PM,"Tuesday, October 2, 12","Tuesday, October 2, 12",Tuesday,9:21 PM,Comedy Cellar,40.73006968,-74.00035446
9,506b930ce4b0fa7d3a45d1d5,1349227276,10/2/12 9:21 PM,"Tuesday, October 2, 12","Tuesday, October 2, 12",Tuesday,9:21 PM,Bareburger,40.74204545,-74.0007619
