item index num(items[i]),id of checkin,city,createdAt,createdAtDate,createdAtDay,createdAtDayArrayValue,createdAtTime,createAtTimeMins,venue name,location lat,location long,,,,
1,506f7347e4b00875abfcf203,New York,1349481287,"Friday, October 5, 12",Friday,4,19:54,1194,Palladium Athletic Facility,40.73342001,-73.98809062,19.9000398,19,54,7:54:00 PM
2,506f732fe4b04d0cab5cabea,New York,1349481263,"Friday, October 5, 12",Friday,4,19:54,1194,ITP,40.72944585,-73.99366021,19.9000398,19,54,7:54:00 PM
6,506ce870e4b0666b5288b469,New York,1349314672,"Wednesday, October 3, 12",Wednesday,2,21:37,1297,ITP,40.72944585,-73.99366021,21.6167099,21,37,9:37:00 PM
10,506b92f7e4b037d925966071,New York,1349227255,"Tuesday, October 2, 12",Tuesday,1,21:20,1280,ChatID,40.73870023,-73.9890146,21.333376,21,20,9:20:00 PM
17,50675088e4b064a76cac113a,New York,1348948104,"Saturday, September 29, 12",Saturday,5,15:48,948,Palladium Athletic Facility,40.73342001,-73.98809062,15.8000316,15,48,3:48:00 PM
19,5065bc06498ef54a403d3e69,New York,1348844550,"Friday, September 28, 12",Friday,4,11:02,662,ITP,40.72944585,-73.99366021,11.0333554,11,2,11:02:00 AM
20,50631431e4b0720c968cf673,New York,1348670513,"Wednesday, September 26, 12",Wednesday,2,10:41,641,ITP,40.72944585,-73.99366021,10.6833547,10,41,10:41:00 AM
21,50623c6ce4b092ceff83cd8b,New York,1348615276,"Tuesday, September 25, 12",Tuesday,1,19:21,1161,ChatID,40.73870023,-73.9890146,19.3500387,19,21,7:21:00 PM
23,5060a6fae4b05a5f27ae0916,New York,1348511482,"Monday, September 24, 12",Monday,0,14:31,871,Palladium Athletic Facility,40.73342001,-73.98809062,14.5166957,14,31,2:31:00 PM
25,505ce5a3e4b0643aba404d83,New York,1348265379,"Friday, September 21, 12",Friday,4,18:09,1089,ITP,40.72944585,-73.99366021,18.1500363,18,9,6:09:00 PM
26,505b7da9e4b0597d27c3d42e,New York,1348173225,"Thursday, September 20, 12",Thursday,3,16:33,993,Palladium Athletic Facility,40.73342001,-73.98809062,16.5500331,16,33,4:33:00 PM
28,5059c8e3e4b0077641a8ea27,New York,1348061411,"Wednesday, September 19, 12",Wednesday,2,9:30,570,ITP,40.72944585,-73.99366021,9.500019,9,30,9:30:00 AM
29,5059c8c7e4b0c2e0d906d935,New York,1348061383,"Wednesday, September 19, 12",Wednesday,2,9:29,569,ChatID,40.73870023,-73.9890146,9.4833523,9,29,9:29:00 AM
31,505870e9e4b0eceb3bac939e,New York,1347973353,"Tuesday, September 18, 12",Tuesday,1,9:02,542,ITP,40.72944585,-73.99366021,9.0333514,9,2,9:02:00 AM
33,505870bfe4b079bf3ad7ca38,New York,1347973311,"Tuesday, September 18, 12",Tuesday,1,9:01,541,Palladium Athletic Facility,40.73342001,-73.98809062,9.0166847,9,1,9:01:00 AM
37,5052228de4b0b0fc417502b3,New York,1347560077,"Thursday, September 13, 12",Thursday,3,14:14,854,ChatID,40.73870023,-73.9890146,14.2333618,14,14,2:14:00 PM
40,504e7250e4b0baeda4cfc6c7,New York,1347318352,"Monday, September 10, 12",Monday,0,19:05,1145,Palladium Athletic Facility,40.73342001,-73.98809062,19.0833715,19,5,7:05:00 PM
45,504a1d15e4b08c480553cf6e,New York,1347034389,"Friday, September 7, 12",Friday,4,12:13,733,ITP,40.72944585,-73.99366021,12.2166911,12,13,12:13:00 PM
50,50427d38e4b07ecdea7a18cb,New York,1346534712,"Saturday, September 1, 12",Saturday,5,17:25,1045,Palladium Athletic Facility,40.73342001,-73.98809062,17.4167015,17,25,5:25:00 PM
62,502ee029e4b0a9acfebb9183,New York,1345249321,"Friday, August 17, 12",Friday,4,20:22,1222,ChatID,40.73870023,-73.9890146,20.3667074,20,22,8:22:00 PM
66,502d0616e4b078fb585c91c6,New York,1345127958,"Thursday, August 16, 12",Thursday,3,10:39,639,ChatID,40.73870023,-73.9890146,10.6500213,10,39,10:39:00 AM
70,502bb1f2e4b0392da8015e00,New York,1345040882,"Wednesday, August 15, 12",Wednesday,2,10:28,628,ChatID,40.73870023,-73.9890146,10.4666876,10,28,10:28:00 AM
71,502a9351e4b02d3a50868507,New York,1344967505,"Tuesday, August 14, 12",Tuesday,1,14:05,845,ChatID,40.73870023,-73.9890146,14.0833615,14,5,2:05:00 PM
73,5029485ae4b041e2a7c1878b,New York,1344882778,"Monday, August 13, 12",Monday,0,14:32,872,ChatID,40.73870023,-73.9890146,14.5333624,14,32,2:32:00 PM
77,50269adde4b0f080a57c7058,New York,1344707293,"Saturday, August 11, 12",Saturday,5,13:48,828,Palladium Athletic Facility,40.73342001,-73.98809062,13.8000276,13,48,1:48:00 PM
79,50255edae4b0310dd1d832b0,New York,1344626394,"Friday, August 10, 12",Friday,4,15:19,919,ChatID,40.73870023,-73.9890146,15.3166973,15,19,3:19:00 PM
82,5023cd30e4b00ac2d873a0df,New York,1344523568,"Thursday, August 9, 12",Thursday,3,10:46,646,ChatID,40.73870023,-73.9890146,10.7666882,10,46,10:46:00 AM
85,502357bee4b020e1a17f6a92,New York,1344493502,"Thursday, August 9, 12",Thursday,3,2:25,145,Palladium Athletic Facility,40.73342001,-73.98809062,2.4166715,2,25,2:25:00 AM
88,502162f1e4b03c8ab9191f65,New York,1344365297,"Tuesday, August 7, 12",Tuesday,1,14:48,888,ChatID,40.73870023,-73.9890146,14.8000296,14,48,2:48:00 PM
91,501c7e08e4b03f68ac1797cd,New York,1344044552,"Friday, August 3, 12",Friday,4,21:42,1302,Palladium Athletic Facility,40.73342001,-73.98809062,21.7000434,21,42,9:42:00 PM
92,501c7dfae4b0db1da5aa6704,New York,1344044538,"Friday, August 3, 12",Friday,4,21:42,1302,ChatID,40.73870023,-73.9890146,21.7000434,21,42,9:42:00 PM
96,5019bc88e4b02d5a4add807c,New York,1343863944,"Wednesday, August 1, 12",Wednesday,2,19:32,1172,ChatID,40.73870023,-73.9890146,19.5333724,19,32,7:32:00 PM
98,50187631e4b0031e81376880,New York,1343780401,"Tuesday, July 31, 12",Tuesday,1,20:20,1220,ChatID,40.73870023,-73.9890146,20.333374,20,20,8:20:00 PM
100,501759ffe4b075715740af6a,New York,1343707647,"Tuesday, July 31, 12",Tuesday,1,0:07,7,Palladium Athletic Facility,40.73342001,-73.98809062,0.1166669,0,7,12:07:00 AM
101,50169a34e4b01bcdb336d132,New York,1343658548,"Monday, July 30, 12",Monday,0,10:29,629,ChatID,40.73870023,-73.9890146,10.4833543,10,29,10:29:00 AM
105,50126df6e4b07f20b271e163,New York,1343385078,"Friday, July 27, 12",Friday,4,6:31,391,Palladium Athletic Facility,40.73342001,-73.98809062,6.5166797,6,31,6:31:00 AM
106,50118bcee4b0dbe1572b78c4,New York,1343327182,"Thursday, July 26, 12",Thursday,3,14:26,866,ITP,40.72944585,-73.99366021,14.4333622,14,26,2:26:00 PM
107,501155eee4b06fc7cdcbe973,New York,1343313390,"Thursday, July 26, 12",Thursday,3,10:36,636,ChatID,40.73870023,-73.9890146,10.6000212,10,36,10:36:00 AM
121,500024d7e4b0c1f04fe891d0,Quito,1342186711,"Friday, July 13, 12",Friday,4,9:38,578,ChatID,40.73870023,-73.9890146,9.6333526,9,38,9:38:00 AM
